!#Experiment  Id= 2.3:
!Initial Temp=850 C
!Cylinder(50,150)
!Quenchant=Isorapid227HM
!time	t1	t2	t3	t4
224	72.365564	100.886733	121.490259	101.947841
224.5	72.229733	100.658505	121.165317	101.745643
225	72.182963	100.396739	120.811505	101.529041
225.5	72.119858	100.159106	120.503317	101.309081
226	72.040864	99.994017	120.138712	101.040473
226.5	71.918904	99.824662	119.80196	100.768971
227	71.797389	99.631902	119.475517	100.505389
227.5	71.698252	99.3894	119.146177	100.232605
228	71.604261	99.125539	118.808027	99.959181
228.5	71.455889	98.904704	118.494968	99.737585
229	71.315346	98.691093	118.16013	99.526144
229.5	71.169878	98.492583	117.841504	99.306619
230	71.042536	98.226804	117.520436	99.066405
230.5	70.850512	97.940582	117.203065	98.85593
231	70.684446	97.678919	116.892799	98.655604
231.5	70.557992	97.399965	116.559183	98.437291
232	70.448545	97.184699	116.247215	98.228677
232.5	70.334845	97.059867	115.960972	98.007481
233	70.226963	96.910078	115.640254	97.803632
233.5	70.138999	96.726566	115.343439	97.603176
234	70.102739	96.579722	115.02102	97.385641
234.5	70.040739	96.367905	114.722949	97.192194
235	69.942477	96.162627	114.416532	97.010459
235.5	69.818024	95.91263	114.118338	96.820192
236	69.711253	95.606464	113.825187	96.645232
236.5	69.580977	95.298988	113.511896	96.486251
237	69.467711	95.016945	113.238578	96.349315
237.5	69.373022	94.819421	112.941719	96.193951
238	69.276093	94.636069	112.619064	96.037248
238.5	69.195953	94.406223	112.354046	95.851106
239	69.092305	94.125404	112.078415	95.686558
239.5	68.989328	93.842819	111.765663	95.483137
240	68.901124	93.64067	111.492842	95.296363
240.5	68.793442	93.436741	111.194465	95.068254
241	68.694489	93.256406	110.936682	94.883535
241.5	68.540907	93.07092	110.641795	94.700178
242	68.336946	92.939111	110.366883	94.509645
242.5	68.136111	92.810228	110.075713	94.301153
243	67.924297	92.620506	109.806546	94.089983
243.5	67.72076	92.43641	109.525651	93.861759
244	67.485864	92.231001	109.257472	93.643213
244.5	67.33762	92.049625	108.982093	93.426707
245	67.180638	91.857936	108.725984	93.21426
245.5	67.048286	91.681522	108.442768	93.017549
246	66.968783	91.433752	108.159823	92.818158
246.5	66.872705	91.170072	107.891619	92.674013
247	66.783345	90.949496	107.646968	92.52112
247.5	66.694878	90.778522	107.385168	92.382379
248	66.589164	90.584001	107.115042	92.198748
248.5	66.476504	90.407439	106.854222	91.998295
249	66.349281	90.218999	106.595019	91.792918
249.5	66.209064	90.0862	106.32659	91.59586
250	66.105577	90.003652	106.062265	91.364031
250.5	66.023592	89.887012	105.792556	91.116064
251	65.93623	89.723051	105.552019	90.896166
251.5	65.810783	89.588031	105.283511	90.662598
252	65.688468	89.422291	105.038297	90.438471
252.5	65.58788	89.266203	104.785213	90.274929
253	65.484601	89.064376	104.52223	90.084477
