!#Experiment  Id= 1.3:
!Initial Temp=850 C
!Cylinder(25,100)
!Quenchant=Isorapid227HM
!t	TC_1	TC_2	TC_3	TC_4
201	44.616595	49.18844	50.793799	51.453005
201.5	44.584192	49.144631	50.710561	51.350636
202	44.550883	49.087722	50.640177	51.264045
202.5	44.484033	49.019518	50.560991	51.159859
203	44.45344	48.934599	50.47413	51.100998
203.5	44.418994	48.822569	50.410052	51.011912
204	44.396104	48.72431	50.332208	50.948083
204.5	44.340126	48.651797	50.260678	50.862823
205	44.310436	48.600064	50.178538	50.795378
205.5	44.25264	48.537711	50.118285	50.723645
206	44.216148	48.483489	50.029367	50.66973
206.5	44.178975	48.40396	49.968881	50.582875
207	44.148374	48.345891	49.895302	50.512485
207.5	44.098958	48.304767	49.825331	50.456531
208	44.072436	48.242175	49.764837	50.381397
208.5	44.027778	48.190428	49.704115	50.322731
209	43.9974	48.119469	49.619236	50.251201
209.5	43.97473	48.029071	49.545188	50.197268
210	43.913291	47.985677	49.479715	50.11016
210.5	43.882684	47.934598	49.416046	50.030946
211	43.845047	47.87425	49.350568	49.945183
211.5	43.802875	47.817063	49.283054	49.893722
212	43.772945	47.763039	49.197473	49.81698
212.5	43.731904	47.709465	49.139888	49.773415
213	43.687914	47.647976	49.076204	49.722851
213.5	43.661383	47.540365	49.001451	49.675221
214	43.627595	47.479095	48.940245	49.607045
214.5	43.572942	47.377575	48.881747	49.521031
215	43.540059	47.324664	48.807435	49.433883
215.5	43.517153	47.264062	48.741477	49.352826
216	43.482227	47.213861	48.686133	49.250764
216.5	43.436867	47.142625	48.605712	49.168342
217	43.41033	47.076814	48.534774	49.100143
217.5	43.375401	47.041532	48.478971	49.030811
218	43.31983	47.010773	48.417516	48.977737
218.5	43.289662	46.929801	48.354025	48.913142
219	43.252234	46.870313	48.291888	48.853287
219.5	43.192574	46.824168	48.226584	48.794108
220	43.174652	46.790011	48.163084	48.743284
220.5	43.127239	46.768069	48.093706	48.654507
221	43.10183	46.711967	48.039467	48.607745
221.5	43.063489	46.666721	47.984773	48.545167
222	43.029685	46.595909	47.914482	48.499982
222.5	42.993156	46.555185	47.84577	48.451181
223	42.965476	46.469886	47.81209	48.398311
223.5	42.952089	46.424633	47.73094	48.340694
224	42.92055	46.386392	47.683016	48.288724
224.5	42.892414	46.348603	47.625144	48.253926
225	42.873127	46.29633	47.56139	48.206698
225.5	42.839771	46.245866	47.501478	48.13461
226	42.79711	46.232967	47.456711	48.064101
226.5	42.769652	46.173447	47.38888	48.029071
227	42.73947	46.132257	47.34004	47.940022
227.5	42.724946	46.092424	47.293911	47.884873
228	42.678877	46.025655	47.238736	47.827687
228.5	42.677515	45.963636	47.16818	47.775246
229	42.6496	45.932399	47.12883	47.706978
229.5	42.624408	45.874904	47.051936	47.619492
230	42.599897	45.850229	47.015975	47.53946
230.5	42.592407	45.788429	46.946087	47.467112
231	42.547922	45.732058	46.913968	47.411265
231.5	42.536573	45.66912	46.857646	47.36446
232	42.515464	45.607311	46.81218	47.316071
232.5	42.477105	45.566103	46.765807	47.261123
233	42.451682	45.539158	46.711288	47.204589
233.5	42.402652	45.500665	46.658351	47.150993
234	42.391302	45.470097	46.603601	47.113226
234.5	42.363153	45.415977	46.566045	47.051936
235	42.335912	45.352344	46.504504	47.016202
235.5	42.305038	45.319507	46.463777	46.983406
236	42.299817	45.279649	46.417618	46.919623
236.5	42.273937	45.272628	46.341362	46.873027
237	42.243288	45.2262	46.317602	46.846336
237.5	42.219904	45.166408	46.264196	46.807655
238	42.195838	45.107066	46.217804	46.74047
238.5	42.164734	45.067881	46.172994	46.689797
239	42.140213	45.016009	46.118225	46.647718
239.5	42.120232	44.966174	46.077033	46.605864
240	42.110469	44.938085	46.033124	46.556316
240.5	42.084812	44.887567	45.993288	46.529845
241	42.059608	44.837954	45.940775	46.483688
241.5	42.033949	44.818697	45.886448	46.459704
242	42.020779	44.796268	45.840269	46.417618
242.5	41.995347	44.75526	45.804275	46.351319
243	41.975818	44.71697	45.756282	46.327785
243.5	41.9547	44.672108	45.710098	46.261707
244	41.92427	44.613196	45.662554	46.21803
244.5	41.8977	44.557227	45.623159	46.170505
245	41.873628	44.51032	45.577424	46.136783
245.5	41.864544	44.472929	45.525573	46.073186
246	41.857958	44.453667	45.496137	46.037877
246.5	41.840926	44.449814	45.449717	45.984008
247	41.818896	44.398597	45.413033	45.942133
247.5	41.803225	44.374801	45.360949	45.909764
248	41.791415	44.3365	45.320413	45.848645
248.5	41.768704	44.312022	45.261757	45.834836
249	41.740995	44.274852	45.230503	45.768054
249.5	41.721008	44.226348	45.184074	45.717796
250	41.722598	44.164695	45.152819	45.669346
250.5	41.691026	44.136587	45.117712	45.624971
251	41.678534	44.091024	45.075355	45.588518
251.5	41.650823	44.042966	45.021672	45.551838
252	41.65423	44.030271	45.001965	45.508817
252.5	41.625156	44.001254	44.955074	45.458095
253	41.597443	43.97813	44.917017	45.40239
253.5	41.594491	43.942537	44.878505	45.355061
