!#Experiment  Id= 2.1:
!Initial Temp=850 C
!Cylinder(50,150)
!Quenchant=Aquatensid BW (5%)
!t	TC_1	TC_2	TC_3	TC_4
119.5	45.721571	66.799022	131.600283	67.667859
120	45.570105	66.353985	130.430748	67.28494
120.5	45.464816	65.87037	129.20315	66.879369
121	45.366991	65.277139	128.051434	66.396487
121.5	45.301996	64.914388	126.911903	65.902797
122	45.196911	64.639219	125.784769	65.49866
122.5	45.122395	64.328844	124.658595	65.157888
123	45.031339	64.006113	123.575594	64.840165
123.5	44.927591	63.798787	122.470245	64.507846
124	44.847396	63.543477	121.39751	64.175047
124.5	44.792117	63.126956	120.337061	63.891526
125	44.671129	62.673157	119.299117	63.488053
125.5	44.600661	62.236331	118.270902	63.021977
126	44.481921	61.775438	117.24512	62.604488
126.5	44.356824	61.411154	116.227676	62.220578
127	44.244861	61.177842	115.252157	61.857923
127.5	44.152608	60.936657	114.261983	61.486696
128	44.048334	60.728882	113.314332	61.13359
128.5	43.944051	60.500221	112.364247	60.833389
129	43.879664	60.383077	111.422605	60.595986
129.5	43.811645	60.226428	110.499126	60.403444
130	43.753826	60.08144	109.574086	60.189341
130.5	43.700086	59.846882	108.688205	59.953447
131	43.656548	59.561117	107.810215	59.692388
131.5	43.59532	59.223676	106.937391	59.367538
132	43.541573	58.891349	106.052777	59.138298
132.5	43.534996	58.566834	105.181674	58.953496
133	43.457206	58.266531	104.356333	58.80506
133.5	43.376689	57.909796	103.51916	58.619782
134	43.303199	57.689166	102.712337	58.427526
134.5	43.224486	57.412783	101.87676	58.178645
135	43.149172	57.077928	101.080734	57.898508
135.5	43.076121	56.793369	100.292222	57.611592
136	43.014411	56.566548	99.493873	57.290253
136.5	42.974705	56.426935	98.709775	57.003477
137	42.91367	56.181408	97.949357	56.734194
137.5	42.877365	55.902116	97.192796	56.524677
138	42.820864	55.610413	96.421869	56.341893
138.5	42.737808	55.414044	95.693229	56.067572
139	42.698775	55.306516	94.977619	55.855283
139.5	42.659513	55.163885	94.230764	55.706622
140	42.594604	54.899066	93.523207	55.586065
140.5	42.527875	54.646361	92.841213	55.387444
141	42.431407	54.466993	92.110008	55.24167
141.5	42.370571	54.291658	91.462478	55.066861
142	42.298609	54.109103	90.800959	54.812379
142.5	42.249118	53.971554	90.10751	54.618625
143	42.190316	53.833094	89.462884	54.382536
143.5	42.100406	53.631125	88.810316	54.14619
144	42.03206	53.431834	88.185675	53.898555
144.5	41.962802	53.236799	87.52618	53.678805
145	41.90762	53.030254	86.935607	53.41669
145.5	41.830178	52.81332	86.303897	53.189671
146	41.765224	52.578332	85.707237	53.066689
146.5	41.711622	52.291479	85.081542	52.934462
147	41.640074	52.072643	84.502971	52.794791
147.5	41.591237	51.938757	83.910364	52.619959
148	41.545579	51.808693	83.34022	52.460206
148.5	41.518092	51.674559	82.780662	52.359704
149	41.465615	51.546277	82.209965	52.216828
149.5	41.423132	51.442335	81.667081	52.0079
150	41.397687	51.296219	81.104096	51.832532
150.5	41.349976	51.166552	80.555929	51.693215
151	41.281814	50.976655	80.024585	51.539006
151.5	41.255002	50.807487	79.521473	51.380948
152	41.198878	50.571973	78.989966	51.217011
152.5	41.137524	50.339807	78.493394	51.077189
153	41.085031	50.192457	77.967528	50.949985
153.5	41.030716	49.999954	77.469203	50.820965
154	41.011399	49.807201	76.971115	50.652682
154.5	40.93549	49.623001	76.496979	50.497014
155	40.901624	49.482578	76.032695	50.362992
155.5	40.846392	49.331754	75.514491	50.207746
156	40.817752	49.25024	75.053344	50.097394
156.5	40.774791	49.151559	74.576758	49.978683
