!#Experiment  Id= 3.2:
!Initial Temp=850 C
!Cylinder(75,220)
!Quenchant= H2O
!t	t1	t2	t3	t4
97	67.167998	130.723646	429.952837	96.248638
97.5	66.989063	130.185105	427.391207	96.082714
98	66.686268	129.47959	424.878746	95.854755
98.5	66.385019	128.909155	422.391514	95.510386
99	66.072549	127.986595	419.903346	95.044036
99.5	65.749078	127.741392	417.433564	94.551937
100	65.564481	127.343926	414.983484	94.083296
100.5	65.396903	127.004848	412.549811	93.759387
101	65.108103	126.423104	410.14488	93.411038
101.5	64.834742	125.570156	407.741844	93.091479
102	64.564049	124.634521	405.395346	92.847849
102.5	64.353172	124.26082	403.050122	92.61614
103	64.134437	123.865063	400.711465	92.404656
103.5	63.897309	123.217077	398.386006	92.214963
104	63.721581	122.709811	396.085241	92.036281
104.5	63.488457	122.462162	393.798167	91.778381
105	63.238278	122.06568	391.52812	91.470457
105.5	63.120355	121.767524	389.284188	91.242678
106	62.969918	121.102786	387.043866	91.105121
106.5	62.7475	120.175728	384.829055	90.975873
107	62.506004	119.834643	382.6033	90.841246
107.5	62.373251	119.343626	380.405983	90.667362
108	62.182408	118.454601	378.217445	90.390962
108.5	61.991328	117.638114	376.045012	89.947475
109	61.904755	116.954292	373.88007	89.452243
109.5	61.763002	116.32368	371.740802	89.145229
110	61.509532	116.054689	369.604191	88.773443
110.5	61.240335	115.806864	367.486207	88.423221
111	61.006783	114.975967	365.387316	88.194094
111.5	60.79363	114.312489	363.297335	88.071242
112	60.574175	113.710516	361.199856	87.899749
112.5	60.363677	113.217838	359.143921	87.585928
113	60.116578	112.8813	357.072068	87.21924
113.5	59.920183	112.346918	355.029582	86.919596
114	59.723995	112.106193	353.01182	86.636558
114.5	59.569997	111.947087	351.019245	86.280269
115	59.403416	111.935529	349.014753	85.934319
115.5	59.221106	111.715254	347.053907	85.73111
116	59.104348	111.227213	345.104492	85.566219
116.5	59.005099	110.862289	343.209441	85.295598
117	58.863403	110.632409	341.299364	84.973249
117.5	58.668473	110.044822	339.396939	84.727303
118	58.463419	109.373238	337.522423	84.527957
118.5	58.31787	108.964344	335.657787	84.329964
119	58.158384	108.681996	333.809485	84.023584
119.5	57.969231	108.490169	331.961026	83.564946
120	57.740743	108.227345	330.138254	83.228831
120.5	57.641881	107.525458	328.332926	82.925876
121	57.394705	106.860675	326.516039	82.7322
121.5	57.191999	106.358798	324.721709	82.562262
122	56.937576	105.532722	322.936992	82.398823
122.5	56.72336	104.697974	321.155402	82.135314
123	56.541493	104.213143	319.394127	81.761899
123.5	56.387939	103.944596	317.622994	81.305009
124	56.25281	103.631865	315.881775	80.755036
124.5	56.13746	103.450703	314.160643	80.253895
125	55.994668	103.21384	312.430283	79.854168
125.5	55.805536	103.141208	310.724472	79.529878
126	55.667667	103.128803	309.027766	79.310782
126.5	55.472879	102.825898	307.337242	79.156589
127	55.319238	102.376927	305.676207	78.984943
127.5	55.256249	101.866516	303.993762	78.743256
128	55.10259	101.561774	302.339678	78.512316
128.5	55.004043	101.375389	300.717122	78.199702
129	54.912917	101.197359	299.099835	77.939905
129.5	54.786457	100.869959	297.497474	77.652365
130	54.672366	100.175447	295.879009	77.416967
130.5	54.575596	99.544435	294.282873	77.206185
131	54.477696	98.853506	292.701203	76.926935
131.5	54.363135	98.287463	291.12297	76.705641
132	54.240012	97.486697	289.584221	76.485021
132.5	54.12521	96.81957	288.029085	76.277602
133	53.998694	96.224131	286.480534	76.009325
133.5	53.846277	95.528367	284.949624	75.692272
134	53.728297	94.914373	283.419657	75.349265
134.5	53.620892	94.35445	281.914127	75.047204
135	53.498842	94.15271	280.424242	74.916087
135.5	53.350435	93.944922	278.9464	74.763937
136	53.195482	93.864731	277.453446	74.445317
136.5	53.089845	93.427208	275.978187	74.138777
137	52.929462	93.309979	274.52087	73.952166
137.5	52.787086	92.907351	273.074717	73.766226
138	52.663624	92.428902	271.6234	73.54784
138.5	52.500721	92.056708	270.204367	73.254491
139	52.390757	91.564492	268.794267	73.015065
139.5	52.287547	91.134741	267.389702	72.749008
140	52.215882	90.502237	265.979077	72.468624
140.5	52.14196	89.978654	264.602203	72.210388
141	52.010334	89.618882	263.215641	71.961099
141.5	51.896505	89.284268	261.837145	71.708894
142	51.783119	89.012924	260.474931	71.492938
142.5	51.696327	88.943634	259.10713	71.27653
143	51.624184	88.630166	257.778692	71.130838
143.5	51.549333	88.14298	256.424143	71.022294
144	51.442911	87.694866	255.1177	70.845489
144.5	51.394207	87.153796	253.80709	70.668456
