!#Experiment  Id= 2.2:
!Initial Temp=850 C
!Cylinder(50,150)
!Quenchant=H2O
!t	t1	t2	t3	t4
27.5	224.358652	353.631319	837.310903	493.905887
28	217.291958	331.316655	835.323703	464.109211
28.5	210.330711	313.992634	833.012975	439.473216
29	204.061876	300.124297	830.467806	418.086672
29.5	198.892151	288.732941	827.588226	397.223934
30	194.083547	279.129202	824.321673	375.079437
30.5	189.869452	270.896515	820.715611	354.493721
31	185.05448	263.6758	816.683307	336.896049
31.5	179.95992	257.260989	812.213431	321.991351
32	175.548626	251.547556	807.271379	309.304859
32.5	172.266102	246.349005	801.849898	298.199552
33	168.832925	241.474755	795.953268	288.353533
33.5	165.227544	236.912784	789.633488	279.531627
34	161.518973	232.702734	782.868819	271.557148
34.5	157.713215	228.765581	775.732663	264.35596
35	154.358435	225.177076	768.245472	257.78349
35.5	151.33036	221.869127	760.420411	251.760154
36	148.056097	218.72307	752.344771	246.173532
36.5	144.662759	215.78136	744.000679	240.903539
37	141.664584	212.990162	735.508573	235.88696
37.5	139.019165	210.544908	726.844471	231.295385
38	136.437051	208.197666	718.023805	227.131969
38.5	133.811856	205.686616	709.152952	223.233578
39	131.606374	203.33622	700.206067	219.41371
39.5	130.047466	201.212225	691.233347	215.805487
40	129.405419	199.254904	682.242927	212.419919
40.5	128.63614	197.254185	673.26606	209.16521
41	126.753617	194.978801	664.317843	205.76592
41.5	124.542976	192.930072	655.425361	202.596972
42	122.133849	190.818105	646.589069	199.761517
42.5	119.760429	189.157995	637.803004	196.970056
43	117.352099	187.206709	629.120735	194.311153
43.5	115.030687	185.073823	620.506013	191.791407
44	112.97269	183.332261	611.995299	189.233733
44.5	111.101264	181.657671	603.609343	186.847578
45	109.742391	180.435487	595.345851	184.723316
45.5	108.646258	179.356223	587.170617	183.12299
46	107.422599	177.731908	579.145722	181.400411
46.5	106.077079	176.307928	571.199623	179.507436
47	104.614457	174.91911	563.384563	177.556491
47.5	103.222868	173.912878	555.692683	175.836268
48	101.667487	172.466543	548.131024	173.995076
48.5	100.236942	170.971895	540.676522	172.198359
49	98.83978	169.239616	533.33193	170.220645
49.5	97.452509	167.396055	526.124312	167.859844
50	96.195582	165.914996	518.999458	165.592993
50.5	95.07393	164.564612	512.044929	163.738194
51	93.942905	163.002331	505.185382	162.074986
51.5	92.903539	161.335513	498.485193	160.649597
52	91.976803	160.161833	491.872576	159.146837
52.5	91.003702	158.89923	485.360712	157.572186
53	90.150036	157.468274	478.942183	156.210718
53.5	89.298401	156.640587	472.600054	154.967847
54	88.339151	155.026246	466.376777	152.699817
54.5	87.403705	153.932159	460.274408	150.562623
55	86.599588	152.413411	454.319696	148.967066
55.5	86.141129	150.894863	448.429743	147.672491
56	85.530379	149.474366	442.646144	146.640773
56.5	84.776137	148.269649	436.960573	145.158019
57	83.760001	147.140171	431.343941	143.83335
57.5	82.665483	145.555508	425.82674	142.317028
58	81.885478	144.495698	420.357715	140.792372
58.5	81.038193	143.22586	415.020449	139.450004
59	80.131249	141.604674	409.776301	138.092445
59.5	79.41127	140.310121	404.603575	136.733767
60	78.76922	139.357476	399.506836	135.465408
60.5	78.097667	138.160991	394.537521	134.39073
61	77.446508	136.928462	389.61339	133.304285
61.5	76.9162	135.918656	384.745041	132.535626
62	76.329965	134.861399	379.97387	131.359067
62.5	75.771932	133.729928	375.273184	129.794878
63	75.175193	132.724836	370.664497	128.629275
63.5	74.829948	131.918135	366.124122	127.931929
64	74.493204	130.68058	361.654682	127.243321
64.5	74.057112	129.519661	357.250337	126.313411
65	73.47848	128.739805	352.946519	125.413692
65.5	72.897594	127.706861	348.678691	124.458509
66	72.263428	126.273647	344.497118	122.970501
66.5	71.600139	125.136422	340.364699	121.065653
67	70.935463	124.532931	336.332853	119.380276
67.5	70.323783	123.620904	332.33768	117.982406
68	69.858892	122.334253	328.406307	117.060217
68.5	69.254956	120.536702	324.52218	116.349814
69	68.655216	119.161556	320.725204	115.215277
69.5	68.193559	118.701448	316.955258	113.84188
70	67.677225	117.709745	313.276876	112.537577
70.5	67.192413	116.533636	309.6312	111.246248
71	66.685153	115.2784	306.046593	110.309727
71.5	66.206505	113.885442	302.51765	109.102598
72	65.800831	112.504251	299.008183	107.787961
72.5	65.410126	111.112364	295.580814	106.2429
73	64.981289	109.748955	292.164042	104.856005
73.5	64.675427	108.524783	288.841817	103.800865
74	64.43363	107.953256	285.540069	102.642785
74.5	64.121667	107.164674	282.345274	101.779962
75	63.897538	106.541144	279.176936	101.04391
75.5	63.553245	105.741188	276.05928	100.497562
76	63.093457	104.629807	272.964054	99.811055
76.5	62.747056	103.429502	269.902391	98.901907
77	62.402184	102.39001	266.885717	97.846888
77.5	61.9236	101.291335	263.942378	96.594243
78	61.574365	100.572578	260.993068	95.402504
78.5	61.245051	99.67369	258.097756	94.637771
79	60.925792	99.215945	255.204535	93.991425
79.5	60.592132	98.656111	252.333086	93.432154
80	60.288725	98.106995	249.53687	92.908254
80.5	59.978996	97.322714	246.776047	92.394783
81	59.657329	96.35949	244.042279	91.722275
81.5	59.29498	95.468135	241.345582	90.960396
82	58.966481	94.724503	238.698326	90.152279
82.5	58.652308	94.115874	236.077002	89.225293
83	58.374927	93.608682	233.483829	88.432418
83.5	58.005406	92.970452	230.919195	87.773326
84	57.705473	92.518483	228.391114	87.191005
84.5	57.465271	91.991618	225.887977	86.711186
85	57.219422	91.24201	223.438169	86.251593
85.5	56.972196	90.672078	221.030797	85.559727
86	56.716621	89.946807	218.661415	84.740971
86.5	56.46551	88.97593	216.338316	83.869287
87	56.209644	88.161144	214.005055	83.040523
87.5	55.910567	87.440463	211.707228	82.296065
88	55.60312	86.777071	209.461728	81.638556
88.5	55.321493	86.244423	207.24851	80.974846
89	55.062547	85.771666	205.090279	80.478839
89.5	54.81639	85.309044	202.910181	79.958915
90	54.585954	84.695277	200.773462	79.456254
90.5	54.352336	84.320563	198.666061	79.048728
91	54.055655	83.691923	196.594619	78.498223
91.5	53.792697	82.803629	194.506606	77.845928
92	53.546362	82.066813	192.443116	77.295917
92.5	53.318459	81.647063	190.469735	76.834753
93	53.124312	80.981785	188.475184	76.522616
93.5	52.910544	80.257929	186.523171	76.103529
94	52.669036	79.481095	184.606558	75.452865
94.5	52.459941	78.737443	182.684177	74.713151
95	52.235043	78.104604	180.812968	74.148627
95.5	52.06556	77.785734	178.935212	73.683665
96	51.909359	77.435768	177.085698	73.227197
96.5	51.764639	77.106841	175.283352	72.876784
97	51.541221	76.664923	173.478619	72.515621
97.5	51.304016	76.027678	171.725108	72.01414
98	51.128569	75.347256	169.961873	71.515322
98.5	50.982649	74.725457	168.211089	71.013347
99	50.856339	74.389384	166.493268	70.591021
99.5	50.722123	73.939865	164.811688	70.411968
100	50.671592	73.574472	163.117801	70.190608
100.5	50.584511	73.299248	161.507129	69.993416
101	50.462906	72.907216	159.860992	69.677806
101.5	50.337681	72.378896	158.261389	69.251598
102	50.189428	71.908067	156.683021	68.768721
102.5	50.026039	71.723669	155.115933	68.362375
103	49.842769	71.527407	153.549495	67.896214
103.5	49.685211	71.083397	152.001339	67.554291
104	49.560371	70.652794	150.49854	67.282437
104.5	49.38201	70.25507	149.014231	66.890975
105	49.23366	69.893362	147.527847	66.497015
105.5	49.063615	69.315845	146.063438	66.131242
106	48.894679	68.73917	144.638991	65.669555
106.5	48.718494	68.161093	143.211332	65.230442
107	48.559909	67.620796	141.794088	64.855138
107.5	48.418026	67.093205	140.423188	64.395981
108	48.260988	66.479097	139.059897	63.899107
108.5	48.111617	66.152746	137.728136	63.518724
109	47.946635	65.879908	136.408554	63.218555
109.5	47.82571	65.707639	135.092415	62.971717
110	47.688951	65.547012	133.793037	62.830465
110.5	47.571396	65.236939	132.525306	62.666336
111	47.433255	64.763043	131.286646	62.337376
111.5	47.313642	64.408307	130.054794	61.883901
112	47.223416	64.146097	128.838441	61.560009
112.5	47.118259	63.819313	127.655859	61.281843
113	46.987083	63.493618	126.499674	61.08509
113.5	46.831012	63.22259	125.341287	60.900887
114	46.733515	62.784725	124.201706	60.671344
114.5	46.653431	62.543457	123.063792	60.376923
115	46.536238	62.235339	121.957176	60.129152
115.5	46.434646	61.903863	120.847629	59.952061
116	46.343909	61.71209	119.771356	59.665186
116.5	46.232572	61.52681	118.669595	59.434403
117	46.100403	61.290816	117.630842	59.197535
117.5	45.979765	60.878001	116.568176	58.946496
118	45.892844	60.481276	115.577702	58.589648
118.5	45.802748	60.249001	114.537635	58.264639
119	45.704496	60.062043	113.548775	58.010348
119.5	45.60284	59.89011	112.568637	57.719178
120	45.524951	59.642513	111.604679	57.461451
120.5	45.423734	59.403421	110.662535	57.263021
121	45.344928	59.168571	109.729262	57.092442
121.5	45.265665	58.84724	108.793985	56.805413
122	45.170316	58.620192	107.88587	56.500582
122.5	45.078358	58.329106	106.965773	56.113855
123	45.008139	58.014841	106.084082	55.834778
123.5	44.912091	57.720527	105.198965	55.60402
124	44.82691	57.476282	104.354657	55.384255
124.5	44.734701	57.21313	103.492669	55.124193
125	44.64407	56.940953	102.652482	54.826066
125.5	44.556832	56.657274	101.808815	54.566374
126	44.471174	56.31892	100.988931	54.303043
126.5	44.406814	56.002319	100.164416	54.04575
127	44.327945	55.742568	99.369267	53.861592
127.5	44.247938	55.478058	98.578236	53.754195
128	44.200339	55.151191	97.80054	53.67021
128.5	44.099923	54.81774	97.014789	53.554244
129	44.040077	54.574476	96.249317	53.349539
129.5	43.985896	54.451593	95.527248	53.148864
130	43.941235	54.255999	94.766746	52.972042
130.5	43.899066	54.042598	94.029388	52.802186
131	43.8281	53.93116	93.310208	52.676021
131.5	43.762573	53.78932	92.583142	52.509063
132	43.704752	53.674938	91.877144	52.288904
132.5	43.621076	53.443675	91.188826	52.018228
133	43.581164	53.305622	90.496185	51.731275
133.5	43.514489	53.138277	89.815366	51.500637
134	43.470265	53.028131	89.129537	51.357458
134.5	43.39814	52.925637	88.479726	51.152475
135	43.376593	52.754199	87.822865	50.995731
135.5	43.323063	52.586122	87.191005	50.881828
136	43.262046	52.45566	86.541325	50.764758
136.5	43.242991	52.34051	85.922674	50.658056
137	43.212367	52.230987	85.304115	50.494944
137.5	43.155881	52.049332	84.669519	50.341066
138	43.119584	51.843763	84.08025	50.157158
138.5	43.090091	51.739841	83.463062	49.983158
139	43.035415	51.628473	82.917597	49.833289
139.5	42.971887	51.556102	82.284647	49.737582
140	42.924012	51.424653	81.740413	49.611392
140.5	42.867966	51.251925	81.17496	49.475032
141	42.830298	51.063392	80.606643	49.398493
141.5	42.773568	50.851828	80.059629	49.316982
142	42.728181	50.691218	79.505265	49.224176
142.5	42.673942	50.492462	78.964136	49.071068
143	42.625147	50.297065	78.455034	48.900551
143.5	42.580663	50.161897	77.908806	48.80546
144	42.515295	49.981578	77.399966	48.696131
144.5	42.459458	49.803268	76.87928	48.537317
145	42.397262	49.629903	76.370912	48.399272
145.5	42.359125	49.42807	75.869039	48.307988
146	42.300329	49.258048	75.409234	48.133764
146.5	42.242438	49.0731	74.91721	47.979181
147	42.183409	48.922234	74.43391	47.799038
147.5	42.141406	48.764801	73.959779	47.631531
148	42.093952	48.622261	73.498842	47.457899
148.5	42.037413	48.482643	73.025811	47.31138
149	42.029466	48.356569	72.582081	47.237663
149.5	41.981326	48.247656	72.134309	47.157835
150	41.950216	48.108001	71.678688	47.054029
150.5	41.897304	47.962004	71.257512	46.935288
151	41.86324	47.846506	70.830275	46.834405
151.5	41.816683	47.747273	70.407716	46.731706
152	41.788748	47.632662	69.984239	46.636011
152.5	41.732422	47.584282	69.590955	46.561804
153	41.713116	47.461291	69.192276	46.519947
153.5	41.676775	47.293064	68.789094	46.466097
154	41.600454	47.182937	68.366181	46.354092
154.5	41.577966	47.110343	67.991823	46.255881
155	41.532761	47.051315	67.610944	46.169657
155.5	41.490508	46.965144	67.220181	46.061474
156	41.439393	46.816988	66.851558	45.95713
156.5	41.429851	46.677638	66.478201	45.848023
157	41.369191	46.593705	66.105034	45.762905
157.5	41.354424	46.494607	65.768125	45.667593
158	41.315117	46.426501	65.381225	45.574085
158.5	41.303303	46.348661	65.01221	45.486458
159	41.245817	46.281453	64.690888	45.413317
159.5	41.196737	46.194099	64.321802	45.3019
160	41.162879	46.146573	63.989657	45.213802
160.5	41.147654	46.046536	63.654116	45.173034
161	41.133111	45.900088	63.334456	45.088777
161.5	41.098342	45.79392	63.033596	44.993868
162	41.053119	45.684799	62.708041	44.909599
162.5	41.031529	45.604199	62.412948	44.858401
163	40.979485	45.556198	62.090015	44.823965
163.5	40.969258	45.466758	61.796203	44.739005
164	40.949258	45.36463	61.496302	44.660157
164.5	40.909256	45.285821	61.198387	44.548901
165	40.891528	45.20814	60.910535	44.498141
165.5	40.847205	45.149705	60.622874	44.444207
166	40.825612	45.090136	60.331141	44.362167
166.5	40.782651	45.024222	60.062716	44.303694
167	40.778332	44.922059	59.778099	44.224592
167.5	40.717638	44.845941	59.50153	44.120551
168	40.728095	44.777974	59.222683	44.040077
168.5	40.68263	44.686667	58.957723	43.97048
169	40.658987	44.63614	58.694305	43.870725
169.5	40.633071	44.54165	58.450396	43.802479
170	40.604426	44.458937	58.181301	43.742846
170.5	40.5801	44.38755	57.929247	43.685024
171	40.536675	44.325225	57.688846	43.598853
171.5	40.548952	44.281256	57.438979	43.536488
172	40.509164	44.189233	57.195151	43.455069
172.5	40.459143	44.067734	56.931962	43.370242
173	40.428902	43.979095	56.721117	43.284276
173.5	40.409347	43.877527	56.486193	43.227112
174	40.373647	43.834902	56.226508	43.166771
174.5	40.348862	43.770963	55.993998	43.087142
175	40.319072	43.702257	55.763034	43.030196
175.5	40.29565	43.621757	55.55476	42.954189
176	40.277912	43.575494	55.324642	42.906994
176.5	40.251077	43.497707	55.107994	42.840963
177	40.231519	43.426492	54.898746	42.780148
177.5	40.18376	43.346426	54.673271	42.714565
178	40.179667	43.265675	54.464647	42.658736
178.5	40.149873	43.178113	54.249471	42.572492
179	40.118714	43.063774	54.052278	42.554108
179.5	40.084143	42.984592	53.846733	42.449243
180	40.069131	42.944206	53.657825	42.407703
180.5	40.043884	42.917658	53.459664	42.320987
181	40.025914	42.857755	53.254497	42.267184
181.5	39.983379	42.809422	53.055162	42.248795
182	39.952898	42.763129	52.87022	42.199075
182.5	39.951305	42.70004	52.696073	42.117793
183	39.92469	42.660098	52.497121	42.098947
183.5	39.891023	42.597458	52.329693	42.055125
184	39.882606	42.530957	52.137908	42.017204
184.5	39.862587	42.450605	51.944297	41.962706
185	39.818453	42.371156	51.786731	41.91797
185.5	39.803892	42.303507	51.605477	41.8671
186	39.80048	42.23767	51.426005	41.835079
186.5	39.758391	42.159343	51.279437	41.77126
187	39.735867	42.115749	51.099702	41.705621
187.5	39.715162	42.0524	50.930548	41.635208
188	39.710157	42.004715	50.78709	41.616128
188.5	39.688087	41.98882	50.607297	41.601136
189	39.677393	41.989955	50.435831	41.596139
189.5	39.646904	41.943858	50.277659	41.551162
190	39.640078	41.88118	50.125564	41.534124
190.5	39.606857	41.840302	49.982255	41.454841
191	39.605264	41.810324	49.813651	41.404179
191.5	39.551108	41.762175	49.67731	41.334203
192	39.544736	41.704485	49.526055	41.280127
192.5	39.51925	41.676548	49.391719	41.226049
193	39.5015	41.640432	49.24879	41.214915
193.5	39.479198	41.559112	49.083263	41.173786
194	39.445745	41.478922	48.963566	41.134474
194.5	39.425491	41.431214	48.819916	41.054482
195	39.385664	41.376462	48.676252	40.985167
195.5	39.38885	41.325115	48.549291	40.919256
196	39.36996	41.27581	48.376452	40.879708
196.5	39.34538	41.250362	48.280195	40.849933
197	39.334228	41.223322	48.145515	40.809701
197.5	39.266402	41.157198	48.021896	40.758783
198	39.269361	41.134474	47.889451	40.714683
198.5	39.261394	41.088570	47.742300	40.662625
199	39.216782	41.057209	47.62701	40.634435
199.5	39.179223	41.007894	47.510353	40.616475
200	39.183321	40.961985	47.401826	40.566459
